"city","year","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"成都",2016,0,12170.2335,7.7,8370.5026,1591.76,41.39,12370,239.765,369.9,556.2783,17318,12534,4.286524378,2.328026171,16.78333333,983.9,81.58333333,1.316666667,951.1583333,1088.5,0,0,103.833333333333,30.7,539.3
"成都",2017,2,13889.394,8.1,9404.24,1604.5,41.63,10053,223.969,398.2,569.9242,11181,9936,4.767511762,3.3042514,16.58333333,966.9,81.25,1.295833333,951.6308333,1156.7,0,0,103.833333333333,30.7,539.3
"贵阳",2014,0,2497.2691,13.9,3421.76,455.6,43.5,69659,68.1579,63.4926,232.25,70533,29669,4.985704071,4.554508044,14.70833333,1562,82.58333333,2.366666667,877.65,956,0,0,106.733333333333,26.5833333333333,1223.8
"贵阳",2015,0,2891.1581,12.5,2804.45,462.18,38.57,63580,68.4781,72.6195,239.85,57192,23545,2.945509635,2.560115851,15.20833333,1430.8,83.75,2.45,877.8166667,942.3,0,0,106.733333333333,26.5833333333333,1223.8
"贵阳",2016,0,3157.7101,11.7,3380.73,469.68,40.74,62385,60.8675,80,236.74,40373,8475,1.528348495,1.099338391,15.29166667,1045.8,79.91666667,2.533333333,877.7583333,1160.2,0,0,106.733333333333,26.5833333333333,1223.8
"贵阳",2017,0,3537.9637,11.3,3850.6,480.2,40.9,68522,57.9077,90.59,249.61,50631,12983,1.394196695,0.828418299,15.15,1165.9,80.08333333,2.399166667,878.2033333,1100.7,0,0,106.733333333333,26.5833333333333,1223.8
"昆明",2014,0,3712.99,8.1,3138.17,662.6,40.36,8173,87.7272,135.1,319.9,61456,26161,7.069828687,3.882610837,16.38333333,1078.3,65.58333333,2.558333333,810.525,2636.4,0,0,102.683333333333,25.0166666666667,1892.4
"昆明",2015,0,3968.01,8,3497.88,667.7,40.64,8025,92.0041,154.5,313.55,74017,24533,6.293262805,3.875018301,16.225,1190.7,69.83333333,2.366666667,811.125,2388.9,0,0,102.683333333333,25.0166666666667,1892.4
"昆明",2016,0,4300.43,8.5,3920.07,672.8,41.88,7376,95.1845,175.2,313.55,80083,25188,3.693123471,2.733492963,15.78333333,1150.2,73.25,2.259166667,811.0583333,2128.4,0,0,102.683333333333,25.0166666666667,1892.4
"昆明",2017,0,4857.64,9.7,4217.94,678.3,41.92,5461,100.902,193.8,307.19,50882,36018,1.768392229,0.999094001,15.7,1186.4,72.83333333,2.186666667,811.245,2349,0,0,102.683333333333,25.0166666666667,1892.4
