"city","year","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"福州",2017,0,7085.5222,8.7,5823.39,766,44.36,9390,79.4759,102.34,424.44,34137,48554,3.24516978,2.520282947,21.15,1478,72.66666667,2.169166667,1005.618333,1632.4,0,1,119.283333333333,26.0833333333333,84
"厦门",2014,0,3273.54,9.2,1573,381,41.87,3327,42.1986,67.8344,209.32,16144,4561,5.769848718,2.503896614,21.325,1084.5,76.5,2.416666667,997.7333333,1971.6,0,1,118.066666666667,24.4833333333333,139.4
"厦门",2015,0,3466.01,7.2,1896.5,386,41.87,3627,43.3383,88.6,211.3,17028,2414,5.963499632,2.921714585,21.56666667,1480.9,78.91666667,2.475,998.125,1827.1,0,1,118.066666666667,24.4833333333333,139.4
"厦门",2016,0,3784.25,7.9,2159.8,392,42.93,4139,43.122,102.588128,229.96,4033,1183,2.96849456,0.827500696,21.57083333,2168.1989,80.09583333,2.683333333,997.7858333,1590.7,0,1,118.066666666667,24.4833333333333,139.4
"厦门",2017,0,4351.18,7.6,2381.46,401,43.59,4336,42.877,116.576255,248.97,2525,734,1.992840816,1.547691821,21.76,987.4998,75.17,2.745,998.2083333,2179.3,0,1,118.066666666667,24.4833333333333,139.4
"南昌",2014,1,3705.55,9.8,3463.22,524.01,42.08,3831,140.3558,49.067,153.506,37049,29435,2.900371501,2.381605867,18.81666667,1890.5,74.16666667,1.675,1009.75,1810.5,0,0,115.916666666667,28.6,46.7
"南昌",2015,0,4011.88,9.6,4021.47,530.29,41.11,3914,148.6777,49.1,164.3427,30399,24818,3.550382988,1.871147791,18.65833333,2204.7,75.41666667,1.7,1010.025,1651.4,0,0,115.916666666667,28.6,46.7
"南昌",2016,1,4395.68,9,4576.7338,537.14,40.84,3001,152.594,48,185.2,13800,33926,2.471218552,1.663320179,19.03333333,1869,75.16666667,1.725,1009.708333,1799.3,0,0,115.916666666667,28.6,46.7
"南昌",2017,0,4819.76,9,5157.29,546.35,43.94,2953,163.086,54,205.97,12128,23416,2.563183142,1.756922977,19.16666667,1698.8,72.66666667,1.661666667,1010.344167,1853.5,0,0,115.916666666667,28.6,46.7
"济南",2014,7,8850.54,8,5766,904.6,44.71,5588,81.71,144.8486,337.8,64029,32196,21.08881671,19.07823037,15.38333333,521.4,54.58333333,2.525,996.775,2168,1,0,117.05,36.6,170.3
"济南",2015,10,9472.4,8.1,6555.7,909.7,39.44,4372,89.71,166.7221,342.3,64029,28767,14.22310896,11.75736914,15.025,713.8,57.58333333,2.233333333,996.9583333,2260.2,1,0,117.05,36.6,170.3
"济南",2016,3,10193.29,7.9,7454.7,920.4,38.56,4532,91.01,190.4979,367.3,12908,9033,18.94070585,14.49023937,15.39166667,1008.2,56.91666667,2.283333333,996.7833333,2213.7,1,0,117.05,36.6,170.3
"济南",2017,5,11037.28,7.5,7777.1,929.05,39.05,4534,95.33,212.2629,401.1,5137,7245,17.18628035,12.36063717,15.65,615.5,54.33333333,2.245833333,996.9458333,2376.6,1,0,117.05,36.6,170.3
"青岛",2014,0,5770.6,8.8,3063.4,706.69,39.74,3729,91.827658,121.6458,261.4,67842,90082,13.75002268,12.4391095,13.75833333,666.9,69.91666667,3.225,1008.283333,2184.6,1,1,120.333333333333,36.0666666666667,76
"青岛",2015,1,6100.23,8.1,3498.4,713.2,40,3663,101.89,137.7604,264.2,70327,92900,9.159688778,7.571751189,13.71666667,421.2,70.75,3.183333333,1008.308333,2117.9,1,1,120.333333333333,36.0666666666667,76
"青岛",2016,2,6536.12,7.8,3974.3,723.31,40.31,3212,102.93,157.3886,279.9,28458,54677,12.14511962,9.291400847,13.86666667,484.2,68.33333333,3.183333333,1007.991667,2125.1,1,1,120.333333333333,36.0666666666667,76
"青岛",2017,0,7201.96,8,4363.6,732.12,40.73,3192,120.3282,176.4575,276.3,16545,25060,11.21425783,8.065466717,14.14166667,729.1,67.08333333,3.302953789,1008.279278,2314,1,1,120.333333333333,36.0666666666667,76
"郑州",2014,2,6776.989,9.4,5259.6,938,40.2,13839,177.516,192.6642,496.85,120909,70053,10.76536453,9.019629738,16.3,551.6,58.33333333,1.908333333,1003.766667,1894.2,1,0,113.65,34.7166666666667,110.4
"郑州",2015,14,7311.5,10,6288,957,40.34,13914,232.059,215.0579,500.65,106498,71794,6.5206869,4.623759802,15.86666667,689.1,61.58333333,1.85,1004,1729.5,1,0,113.65,34.7166666666667,110.4
"郑州",2016,8,8114,8.5,6998.6,972,43.64,11007,253.235,243.0561,502.89,34898,28977,13.07164324,11.06678998,16.43333333,833,62.58333333,1.960833333,1003.691667,1915.8,1,0,113.65,34.7166666666667,110.4
"郑州",2017,7,9193.8,8.2,7573.44,988,40.4,8815,237.72,285.3,543.22,24546,16890,10.41194136,5.785659182,16.75,598.8,60.33333333,1.855833333,1004.048333,2115.6,1,0,113.65,34.7166666666667,110.4
"武汉",2014,6,10069.48,9.7,7002.8536,1033.8,39.21,12748,102.3843,94.81,445.2202,84500,21600,9.672566421,8.569231848,16.73333333,1208.6,79.08333333,1.508333333,1013.141667,1596.3,0,0,114.133333333333,30.6166666666667,23.1
"武汉",2015,3,10905.6,8.8,7725.2645,1060.77,39.65,11381,110.6252,165.2,464.2788,75035,20811,5.831045116,4.42864186,16.825,1432.8,81.33333333,1.616666667,1013.291667,1624.7,0,0,114.133333333333,30.6166666666667,23.1
"武汉",2016,0,11912.61,7.8,7093.17,1076.62,39.65,11484,118.031,196,491.3201,17917,54089,13.45691705,3.610392379,17.25,1827.1,79.66666667,1.750833333,1013.033333,1614.6,0,0,114.133333333333,30.6166666666667,23.1
