一级指标,二级指标,三级指标,单位
,经济增长,固定资产投资额,亿元
,,地区生产总值,亿元
,,地区生产总值增长率,百分比
,人口因素,常住人口,万人
,绿化建设,建成区绿化覆盖率,百分比
社会经济因素,交通运输,城市公路客运量,万人
,固定污染源,房屋建筑施工面积,百万平方米
,移动污染源,私人汽车拥有量,万辆
,能源消耗,全社会用电量,亿千瓦时
,废气排放,工业二氧化硫排放量,吨
,,工业烟粉尘排放量,吨
,污染治理,工业污染治理完成投资,亿元
,,废气治理完成投资额,亿元
,,降水量,毫米
气象因素,,平均气压,百帕
,,平均风速,米/秒
,,平均气温,℃
,,平均相对湿度,百分比
,,日照时数,小时
,,是否供暖,
,,是否临海,
地理因素,,经度,
,,纬度,
,,海拔,米
