变量,变换,服从分布
年度空气质量指数,,正态分布
月度空气质量指数,取对数,正态分布
年度空气质量为优天数,取对数,正态分布
月度空气质量为优天数,,泊松分布
年度空气严重污染天数,,泊松分布
月度是否发生空气严重污染,,二点分布
