year,province,gdp,capital,labor,edu
1993,甘肃,205.324,468.29,1123.35,6.175
1994,甘肃,227.455,515.37,1142.5,6.371
1995,甘肃,251.016,568.81,1155.2,6.47
1996,甘肃,281.047,631.89,1167.25,6.568
1997,甘肃,306.565,711.88,1180.5,6.85
1998,甘肃,336.364,791.62,1180.75,6.686
1999,甘肃,366.749,893.06,1180.595,6.993
2000,甘肃,402.329,1020.84,1183.835,6.991
2001,甘肃,441.613,1185.16,1184.632,7.317
2002,甘肃,485.176,1373.45,1221.042,7.267
2003,甘肃,537.286,1583.11,1279.467,7.535
2004,甘肃,599.132,1825.62,1312.877,7.824
2005,甘肃,669.829,2096.4,1334.646,7.322
2006,甘肃,746.859,2398.23,1349.286,6.965
2007,甘肃,838.723,2743.373,1362.688,7.156
2008,甘肃,923.434,3229.991,1381.526,7.411
2009,甘肃,1018.548,3693.87,1397.648,7.473
2010,甘肃,1138.736,3293.812,1419.241,8.134
1990,青海,28.655,65.24,203.55,5.798
1991,青海,29.999,68.83,208.95,5.81
1992,青海,32.216,72.91,213.8,5.816
1993,青海,35.325,77.58,216.5,5.822
1994,青海,38.194,82.16,219.95,5.835
1995,青海,41.25,88.11,224.45,5.841
1996,青海,44.847,98.41,228.95,5.847
1997,青海,48.902,112.49,233.65,5.607
1998,青海,53.263,120.58,232.9,5.665
1999,青海,57.582,140.05,235.797,6.741
2000,青海,62.73,163.33,239.88,6.598
2001,青海,70.077,194.81,239.444,6.639
2002,青海,78.543,231.22,243.812,6.907
2003,青海,87.858,271.45,250.778,7.409
2004,青海,98.64,313.23,258.666,7.449
2005,青海,110.674,359.9,265.348,7.351
2006,青海,125.394,409.89,271.409,7.498
2007,青海,142.322,465.132,275.743,7.596
2008,青海,161.535,524.202,276.539,7.653
2009,青海,177.85,614.828,281.166,7.774
2010,青海,205.061,553.987,289.821,8.047
1990,宁夏,46.677,73.58,207.2,6.192
1991,宁夏,48.904,77.45,214.8,6.478
1992,宁夏,53.094,82.4,221.55,6.622
1993,宁夏,58.557,89.84,227.2,6.765
1994,宁夏,63.04,96.82,232.75,7.052
1995,宁夏,69.032,103.57,239.55,7.196
1996,宁夏,76.525,110.06,246.85,7.339
1997,宁夏,82.601,117.9,255.25,7.155
1998,宁夏,89.843,129.02,259.95,7.239
1999,宁夏,97.979,143.87,265.165,7.309
2000,宁夏,107.974,162.25,272.629,7.624
2001,宁夏,118.879,185.45,276.22,7.916
2002,宁夏,131.052,213.11,279.756,8.019
2003,宁夏,147.646,254.15,286.066,7.916
2004,宁夏,164.181,299.84,294.358,8.363
2005,宁夏,182.077,351.36,298.847,8.018
2006,宁夏,205.201,409.34,303.305,8.063
2007,宁夏,231.261,477.306,308.228,8.175
2008,宁夏,260.4,567.976,306.688,8.514
2009,宁夏,291.388,702.727,316.212,8.547
2010,宁夏,330.725,1256.973,327.245,8.918
1990,新疆,121.233,278.08,596.2,6.912
1991,新疆,138.69,315.74,613.95,7.218
1992,新疆,156.859,372.36,629.95,7.371
1993,新疆,172.858,437.01,625.85,7.524
1994,新疆,193.774,512.39,632.85,7.829
1995,新疆,211.407,585.56,655.95,7.982
1996,新疆,225.149,660.4,666.9,8.135
1997,新疆,244.061,732.88,681.15,8.228
1998,新疆,262.366,817.12,684.5,8.244
1999,新疆,281.781,904.14,673.959,8.776
2000,新疆,306.296,1007.4,671.051,8.69
2001,新疆,332.638,1116.34,678.93,8.551
2002,新疆,359.914,1260.94,693.438,9.056
2003,新疆,400.224,1440.15,711.4,8.997
2004,新疆,445.85,1631.77,732.898,8.999
2005,新疆,494.447,1860.25,754.399,8.847
2006,新疆,548.837,2146.32,773.451,8.748
2007,新疆,615.795,2426.575,791.72,8.85
2008,新疆,683.532,2675.654,807.268,8.914
2009,新疆,738.898,2965.88,821.433,8.992
2010,新疆,817.221,2641.819,840.882,9.298
