year,province,gdp,capital,labor,edu
1995,辽宁,1144.245,461.73,2021.6,8.588
1996,辽宁,1242.65,499.16,2032.45,8.726
1997,辽宁,1353.246,537.16,2047.1,8.92
1998,辽宁,1465.566,580.82,1940.75,8.747
1999,辽宁,1585.742,623.8,1807.304,8.888
2000,辽宁,1726.873,674.97,1804.487,8.796
2001,辽宁,1882.292,733.92,1822.975,8.848
2002,辽宁,2074.285,802.76,1837.692,8.994
2003,辽宁,2312.828,896.59,1851.652,9.466
2004,辽宁,2608.87,1039.78,1906.452,9.302
2005,辽宁,2940.197,1223.4,1965.1,9.254
2006,辽宁,3357.705,1463.33,2024.9,9.246
2007,辽宁,3861.36,1757.747,2071.231,9.253
2008,辽宁,4378.783,2254.905,2084.734,9.413
2009,辽宁,4952.403,2642.316,2144.083,9.512
2010,辽宁,5655.645,2364.842,2214.023,9.741
1990,吉林,196.959,285.95,1147.4,7.425
1991,吉林,208.58,311.53,1173.55,7.746
1992,吉林,234.027,342.97,1205.2,7.906
1993,吉林,263.748,399.82,1227.25,8.066
1994,吉林,289.332,454.5,1240.1,8.386
1995,吉林,317.397,507.52,1252.35,8.546
1996,吉林,360.246,564.08,1256,8.706
1997,吉林,392.668,606.15,1247.4,8.822
1998,吉林,428.401,658.25,1182.35,8.667
1999,吉林,463.529,723.85,1115.079,8.859
2000,吉林,506.174,804.57,1090.812,8.926
2001,吉林,553.248,892.76,1068.043,9.026
2002,吉林,605.807,1001.46,1076.26,9.109
2003,吉林,667.599,1139.13,1069.959,9.134
2004,吉林,749.046,1317.64,1080.102,9.162
2005,吉林,839.681,1574.63,1107.498,8.978
2006,吉林,965.633,2033.72,1109.955,8.875
2007,吉林,1121.1,2678.849,1108.343,9.019
2008,吉林,1300.476,3518.828,1119.849,9.165
2009,吉林,1477.34,4410.276,1164.109,9.201
2010,吉林,1681.213,3944.9,1216.689,9.422
1990,黑龙江,282.754,560.42,1410.5,7.399
1991,黑龙江,301.416,584.44,1453.3,7.743
1992,黑龙江,321.008,614.46,1476.6,7.915
1993,黑龙江,344.762,650.87,1484.55,8.086
1994,黑龙江,373.722,693.68,1508.15,8.43
1995,黑龙江,408.105,744.69,1538.35,8.602
1996,黑龙江,449.731,806.75,1559.9,8.774
1997,黑龙江,494.704,883.56,1613,8.717
1998,黑龙江,535.765,982.52,1690.8,8.654
